Frequency             Specific_Flux_Density
# Shifted to 64km/s   #mean in elliptical region shown in Corby et al. (2015), MNRAS
(MHz)	              (mJy_arcsec^{-2}) 

30076.50084032  0.01494832 
30077.50105432  -0.06642232 
30078.50126732  -0.04822032 
30079.50148132  -0.04758732 
30080.50169432  0.04041532 
30081.50190832  0.10033432 
30082.50212132  -0.03833632 
30083.50233532  -0.20244432 
30084.50254832  -0.09894332 
30085.50276232  0.01805832 
30086.50297532  -0.06227032 
30087.50318932  -0.08566732 
30088.50340332  0.04483432 
30089.50361632  -0.04423332 
30090.50383032  0.04771332 
30091.50209032  -0.04827032 
30092.50230332  -0.03231032 
30093.50251732  -0.04434932 
30094.50273032  0.00482132 
30095.50294432  -0.02762432 
30096.50315732  0.08790032 
30097.50337132  -0.10720232 
30098.50358432  -0.09924932 
30099.50379832  0.02014232 
30100.50401132  0.06152332 
30101.50422532  0.00097532 
30102.50443832  0.04966832 
30103.50465232  0.04293632 
30104.50486532  0.08167832 
30105.50507932  -0.09995132 
30106.50333932  0.02979632 
30107.50355232  -0.03031432 
30108.50376632  0.02974832 
30109.50398032  0.03551832 
30110.50419332  -0.07132032 
30111.50440732  -0.08080632 
30112.50462032  0.03138932 
30113.50483432  0.00394032 
30114.50504732  0.01920532 
30115.50526132  0.10251332 
30116.50547432  0.01834832 
30117.50568832  -0.03345932 
30118.50590132  -0.04638932 
30119.50611532  0.01065932 
30120.50632832  -0.09853732 
30121.50458832  -0.06128932 
30122.50480232  -0.00045232 
30123.50501532  -0.03762732 
30124.50522932  -0.06467332 
30125.50544232  -0.08585532 
30126.50565632  -0.01514132 
30127.50586932  0.00434632 
30128.50608332  -0.00110532 
30129.50629732  -0.02128232 
30130.50651032  0.06956232 
30131.50672432  0.09504832 
30132.50693732  -0.00744332 
30133.50715132  0.03778732 
30134.50736432  -0.00500532 
30135.50757832  -0.03587132 
30136.50583832  -0.00253732 
